Source,Target
369883,406997
513347,530154
8656,49047
9339,417261
1402,19719
629,11826
787,1620
34584,443463
49017,282035
290595,385448
65,233
10537,332562
364,470894
205587,396371
2048,264660
50620,123553
227156,365942
281957,339692
399170,489931
11324,395841
396371,417261
238636,385360
87101,152601
11713,438145
53182,190683
270303,372058
509,122906
13,398818
207932,372343
281338,281957
2501,340666
562,64690
562,2503
152532,451945
433498,487558
24249,242582
171274,454983
1427,489927
281957,390062
510,286565
744,363676
7131,18239
21056,384680
388,637
316029,318846
2253,16869
73,164457
408,58595
78,218
44940,569547
13815,459910
246655,450465
58595,290595
37165,119450
561,487672
5961,489927
676,324786
401469,475210
242582,396371
500,520360
994,281957
65,245
36557,265208
522,396461
96,396461
2142,169917
16869,156022
534,68724
101299,286217
109491,443463
769,11324
399404,457136
241765,242582
769,207932
131631,281338
772,416477
75174,286217
4922,340027
1680,124905
207,24469
11624,530154
1585,5825
562,429203
207,233063
9339,72570
20806,569547
4148,64682
281957,433249
23168,484247
286217,407451
86838,302946
796,418827
264660,569547
14,194662
380,400579
9631,137094
222935,281957
11943,399360
2034,265208
381284,399055
627,4836
629,302946
30959,530154
68718,438145
65754,336843
16288,530154
2605,264660
1246,1371
61791,157350
8012,500475
9045,505954
166426,274857
11560,205587
9738,433249
28178,44564
72570,443009
375262,398818
956,4922
8077,49047
266856,389015
812,489929
24420,440298
979,413362
792,49017
8619,108794
381284,399404
78,3509
318846,324786
984,412862
489,1422
85548,273248
539,13685
10139,361292
133805,281957
2331,147441
18780,53182
891,446354
324786,458737
381283,426814
615,86834
194662,487672
4148,4507
640,769
65754,395841
699,504172
11000,553882
27040,150540
62764,503237
2675,10200
50619,64682
267806,530154
245891,385360
416160,429417
1124,13374
52371,451925
670,11713
1585,527435
162,10829
563,857
433498,451915
49849,329865
59967,339103
194662,315635
112160,391713
316029,324786
184,169917
562,281957
272,141052
497,674
25196,332562
189055,395991
216015,294254
15383,16869
171274,466282
68734,266856
137,372343
10132,45269
2503,137094
185,101299
446101,507618
348,329865
15648,150540
3580,406990
111,205587
1452,450465
8619,34276
111,319
242582,259908
75656,520360
443009,454227
828,54138
392044,395841
10140,472734
411,109491
5065,537996
346685,458737
16366,147441
210577,300668
244786,458594
357096,395841
10734,109491
23168,109491
340613,369972
1573,201088
10139,339103
11979,50620
49026,201088
21240,486947
14438,395991
398181,484247
4638,406990
24021,123553
921,45317
258034,419743
87436,530154
64682,281957
1571,97367
399055,440298
45317,245913
628,50620
388,11372
2064,4922
241554,345887
281957,470044
4922,334541
3035,124905
37135,278927
539,24103
9739,553882
26390,273481
419743,424694
551,87827
387,283366
1924,49026
605,6479
1948,2501
9880,437586
10285,381283
1267,122906
1366,11036
316029,334543
22881,39254
13640,487670
7131,49017
4771,241554
194662,363088
8966,405774
129,58595
862,68718
14291,489927
86834,274855
350,440298
82693,272693
63811,446101
458594,464502
2454,455207
26428,468362
1266,359940
10156,530154
103,8221
376290,553882
207,468
74997,395990
6479,76341
52371,476292
1443,273153
489929,569872
15371,372058
311,426426
453,363676
14194,489931
23963,295011
840,846
14869,399055
13885,462919
278,17466
9454,150689
350,466282
411,497
75780,146233
22302,474354
438145,467938
1402,5178
201085,429417
652,11527
157547,429417
11443,446021
44826,472734
9902,395834
339692,400535
10200,329865
9873,489931
150689,399055
417261,460071
490773,536176
11036,492621
272,315635
68724,335984
387,222935
52371,293863
85350,419478
11123,254128
10098,440472
1949,339103
12405,283683
316029,371638
80278,351155
65,6575
63,141
399055,407655
787,6637
15912,500475
60304,62764
205596,369885
562,340666
62,274870
754,385360
275,395990
238,5123
630,472734
240,400
4771,339692
76341,433249
8966,50620
834,24021
203912,335797
2501,2503
118,122906
4995,249397
561,297762
2675,299687
28,14636
921,1366
561,49521
9077,399055
600,487558
207932,446807
443009,457136
8619,30431
80278,353732
52449,406997
1572,2501
19959,39254
120467,132344
16548,242582
1366,8456
9472,312221
2501,453201
337167,395841
10781,464502
73,385360
3170,6477
120467,353571
168672,261023
453,371638
27727,87827
109491,400650
272,209112
109491,171274
1266,106646
261470,451925
37165,157336
1369,324786
10331,414191
283366,297761
78,500664
332562,458737
429203,507419
137113,374720
77877,281957
562,171274
80278,345923
72105,293863
43471,80278
809,58595
424,339103
156022,458594
125255,502682
1374,68718
1366,1371
49026,554600
627,379149
49017,228150
1726,9741
387,5925
62764,290595
77877,101299
299536,450465
262500,365942
479,169917
597,11130
399170,429203
948,398173
10651,385360
390051,474354
8012,210577
222935,340666
70,8923
74405,76203
11123,395991
10428,37799
289,1771
153,71688
235,627
11970,41233
75142,76203
289,424
11224,398818
371638,487558
389015,460071
316029,487558
680,1366
189,6977
13,400650
32823,313369
401469,449443
9813,339380
43959,45317
28178,397422
1724,433249
153,226
8923,307081
568,369972
10559,392044
23168,465136
6341,11778
266856,472451
1572,429203
568,817
340613,392044
45772,462919
7131,346672
559,637
8536,263115
272,557
3035,9077
341174,465136
746,324786
454227,487558
4148,9880
336843,341174
19067,76203
194662,283995
277216,376867
745,354912
550,59967
425336,433498
11455,504172
189,392044
10545,313369
78,604
73861,359940
694,372343
1402,259386
86834,109414
54138,157336
9381,61791
11130,82702
388,424
395841,470044
72190,333339
4951,13374
339692,500475
460071,467952
261023,400535
50620,203739
1417,543583
392044,470044
109491,455207
769,1422
652,14073
77,385360
637,399404
37165,315837
769,443009
19,157336
4922,24420
302946,339692
141052,315635
705,313369
281957,455207
4951,15144
42297,313369
16619,345920
278,5924
39254,55721
9356,400579
49521,315635
370663,375262
67885,489927
7511,9339
550,101299
8656,254128
141,11351
326285,426426
34463,150540
808,1417
10625,85350
28468,44214
10734,381284
80278,254128
15070,348893
70,1374
101299,365942
1578,481117
283366,299536
979,273481
1443,424694
346,274857
14574,399404
46529,466411
1949,65754
11324,449176
10429,37799
628,18239
345887,458594
13697,44564
238636,438145
109491,453201
101299,281957
281957,446807
369885,467952
37165,500664
2652,264660
446354,487558
629,414063
435,254128
1417,10882
1927,9741
371638,433498
828,126889
4982,459910
28178,424488
608,840
300668,484247
562,2501
262500,453201
272,49026
62764,332325
7453,274870
8966,9880
101,278
64690,242582
8536,283366
376660,391713
269795,489931
424694,454227
278,575
359940,438145
17431,152601
9813,425972
254470,332562
73,277216
4951,10314
449176,470044
1585,9021
207,8065
769,398181
8649,458737
205596,449176
207932,345887
405774,466282
16,1124
6477,313369
629,3112
109491,449176
1883,147441
9331,504172
211088,273248
5925,505954
55721,455980
10651,500475
2501,2502
9291,307081
60308,312221
397403,536176
49026,297762
13815,504172
4951,449176
19840,222935
14128,530154
364,283366
828,49849
153,713
2288,462919
1375,481117
11966,520360
10483,168259
424,487558
1259,293863
38,19913
340666,346685
296096,454983
2976,462919
4347,8587
671,58595
561,9552
11324,445651
406997,442062
2048,39254
1452,470894
213,201088
13,216015
228161,503346
1422,339692
122906,382591
111,9319
424,334543
2034,396371
7984,396371
11778,150117
278,1429
4148,50619
17979,470044
10349,489931
395990,500919
453201,470044
334,489927
1816,537996
95,16869
141,397722
557,194662
3131,68718
109491,429351
75612,274870
289,324786
45269,62796
339692,489929
8392,476292
627,680
9350,399360
78,1103
769,261023
707,2501
539,11931
769,395834
307081,390051
11287,307081
14,426426
562,396371
15472,65754
153,13243
2907,302946
10229,437586
153,598
1443,11224
5,530154
3170,244264
11770,312221
6404,414191
9837,147441
510,440298
345887,400535
597,42661
34584,336843
8536,315635
438145,500664
11703,419743
152532,438808
62,264660
23168,294254
644,10681
62764,70351
49530,507419
185,59967
1452,9741
395834,395990
539,74725
8619,450322
2501,346685
500006,554600
10342,11036
303991,416477
499,476292
120467,340613
299537,487670
433,507419
9741,287947
1422,75780
389015,481117
1949,470229
109491,333339
604,39254
8966,12689
769,318846
157336,286217
146198,500919
258480,261470
260514,335797
41233,321612
98,49519
272,470894
424,457136
326359,476292
78,562
62,49047
9989,37799
15070,466411
1417,4523
260514,455980
12405,283565
78,605
840,16866
516503,569547
3170,112160
388,228150
133805,438145
300671,316029
295011,434873
984,146233
1402,345470
12762,489931
155,65291
131631,220882
12444,18239
956,385360
857,5925
472451,511785
12201,400710
14,402897
604,401905
1359,398173
1443,8966
139945,273248
597,492282
11618,429417
289,5925
13223,345887
9986,68718
489,23168
345920,395834
497,10140
979,281957
273481,500664
1948,2503
207,369557
80278,333968
3132,553882
12405,283725
451915,487558
207932,346685
60308,481117
843,4148
153,6964
170,72570
228150,395991
462963,536176
275,446791
152601,157336
124905,373571
70,1375
73,829
424,637
14,112160
26390,169917
294963,381283
2048,339988
4922,416477
155,364
10020,41233
49047,395992
28,6950
34584,109491
8966,24418
392044,500919
37530,414191
10734,11324
828,91314
389015,454652
13,185
137094,201088
318846,424694
197033,449176
508,51052
1949,171274
169917,446807
4148,11324
343,489999
334,745
8966,341174
497,671
637,675
68724,131631
316029,454652
62,569547
9962,249397
840,15613
389015,433498
1124,8840
77,78
257088,438808
106646,138832
424,324786
15144,85350
9836,335797
61979,77338
347984,424694
416477,429200
98,9703
5925,307081
417261,489999
141,309809
48650,249397
41968,87827
623,401469
1572,2503
152532,424694
398181,459910
424694,457136
1991,64690
41233,424694
8834,395834
465136,466411
272,299536
5876,49017
398173,424694
652,9022
5925,374720
32593,62764
26371,449176
157350,220882
807,395841
24418,466411
13223,15356
14055,489931
36647,68718
565,429417
453,334543
23483,470229
62,339988
10028,361292
75174,399360
1246,1374
2252,97367
58595,76492
9388,553882
96,438808
101,241554
1374,296098
4836,438808
72190,82654
562,146233
9104,106646
3580,396461
281957,395841
101,6977
60670,392044
198663,405774
95514,446101
13184,80278
339103,396371
7980,429351
18587,413362
438799,468362
1701,399170
123109,398173
103,308084
1259,64682
2323,307081
111,400579
14,153
13475,49047
332283,460071
9433,399360
399170,449443
10139,424694
379291,487670
562,446807
604,220882
398173,473149
769,459910
82703,489927
350,281957
4347,82693
9339,400617
2105,2108
350,72710
39781,476292
508,927
350,50619
2108,13342
264660,339988
90,489929
539,11462
162,5527
13752,505954
14313,82693
11881,205587
156022,168259
9654,64690
769,168672
9555,425972
240,8012
497,470044
4421,446101
272,559
216015,262500
97367,155084
295011,485415
550,395834
35,391713
54138,329865
1585,10719
153,8346
175,1124
254470,455980
55341,124905
10046,384680
68724,274855
318846,396371
281957,345887
4982,504172
984,1422
489,277547
111,425
157336,274870
302946,338766
64682,340613
1979,283366
1844,520360
1557,37799
381284,443009
10734,371638
389015,467952
2749,169917
150540,381693
3035,339967
333339,398818
296096,470044
8587,409447
49524,146233
39874,412862
15070,481117
109048,447332
419478,421471
59967,61791
13,118
238636,458594
7341,11778
10139,446354
103,17221
10222,80278
193893,385360
4638,500919
11082,86834
497,449176
75136,76203
339988,411143
78,339988
289,637
109491,472734
316029,467952
448514,502682
10651,395990
290762,458737
41446,340674
1366,10400
652,10693
95,395992
539,3112
82654,295011
281957,379149
185,405774
34584,466411
201088,554600
12405,283502
15927,87827
345887,459910
339380,424694
2164,274870
652,43194
185,8999
262500,433498
399170,446021
348,157336
1367,72570
20526,264660
1955,433498
453,467952
76492,417261
396371,457136
30159,154400
11778,446021
537,11036
1903,72570
37233,396371
1443,376867
38321,50620
414,49026
32648,273248
272,419831
4922,455980
262504,405774
185,398181
141,165
27324,489999
298,520360
1367,45317
278,10360
45569,500919
101299,465136
277,50620
20815,446101
15472,315837
1402,310307
381283,442249
700,87827
46705,293863
2454,17979
2299,449459
38,152601
11036,12832
14,376867
311,392044
470229,500664
1412,418827
76341,425972
311764,537996
11007,416477
210577,336843
339103,395834
11423,395834
194662,324857
1374,45317
10559,363676
1366,391757
17111,429417
424,446354
4922,48138
286565,419478
402897,429197
605,152601
86834,472715
411,58595
37165,110415
281957,413362
10139,205596
489,340666
3062,537996
4771,395841
510,222935
9738,470894
921,1371
340666,445651
984,398173
1259,261470
74997,464502
954,201088
24704,87827
24124,474354
226,425972
1368,11778
769,345920
417261,503616
745,903
272,299537
98,32528
37645,458594
345887,446791
640,324786
4588,418827
38,1903
303857,476292
157350,405774
489,293863
246655,283366
5172,150540
395834,395841
34584,453201
61791,335984
316029,443009
121677,150540
240,23483
112160,400579
240,133805
454983,484247
1366,1374
262500,429351
395990,446807
296096,465136
275,399360
3170,10191
97367,245703
1422,357096
76338,419831
2502,2503
77877,336843
8363,449176
657,467952
347984,379149
11324,465136
453,487558
157336,262543
382625,462919
604,37165
228150,505954
4951,325189
44639,184125
2976,313369
103,10247
769,381284
311,168259
568,157336
14114,361292
627,31011
9378,414191
241554,438145
157353,264660
334543,369972
244786,281957
25389,399055
78,152601
454983,472734
7007,395990
4771,413362
508,5825
769,470044
398181,473149
299537,315635
2253,505954
562,395990
266856,451915
69,332562
59,205587
2323,45317
278927,470044
8619,19067
426613,437586
7863,489927
77877,395841
396371,460071
11713,483184
479,398181
458594,484247
220882,335984
2675,137113
34584,340674
73,193893
338970,489999
1091,395992
808,150689
1422,10651
185,769
111,903
623,396371
38,24420
334543,429197
13223,53932
9986,335797
8966,18239
335797,449735
1494,11036
1883,363676
419831,487670
2034,7347
396371,481117
605,61791
198663,453201
157350,365942
336843,337167
141,80585
3083,553882
1417,38757
949,244786
10139,376867
637,4347
26371,398818
4771,392044
2300,312221
238,9798
637,857
1969,507419
8966,429351
588,3035
338766,429203
1429,44214
345887,483184
77,346685
210577,392044
7220,426426
4011,372058
562,413362
2503,473149
588,124905
337167,392044
539,1696
274855,339988
769,341174
954,2501
4836,504172
11631,216015
10035,446101
11423,395841
205596,324786
745,259693
308639,437586
10377,314365
510,281957
338189,419743
137,275
10781,483184
458594,473149
3035,5876
5486,412862
383526,419743
339692,398181
395841,398181
4597,429203
1371,481117
80278,312724
272,283366
2503,156022
858,45269
433,520360
16153,332562
11287,312221
8619,149465
644,339988
10734,448776
266856,334543
10651,372343
637,152760
28,14873
613,637
253,347984
399360,433249
41630,77338
45569,464502
1417,175112
12149,398173
369885,374720
26933,472451
36647,49017
2502,201088
334543,454227
290637,429417
24253,315837
23168,449176
153,3782
4148,210577
131631,365942
240832,339988
438808,459910
9836,87827
84892,398818
9738,274870
262504,281338
1538,396371
357096,470229
9350,273248
311,120467
840,346685
289,505954
235,440298
395990,417261
153,39781
10948,77338
11033,264660
5464,395991
207,8841
4922,458737
43461,569547
262543,264660
184125,318846
85350,112160
646,399170
9741,11411
170,295011
644,262543
929,311291
238,2118
466282,472734
339988,500664
78,949
423,228150
44564,77338
372343,433808
1949,241554
41233,316029
840,57812
1645,314365
769,484247
4922,24150
283366,297802
257,520360
70,50456
4771,137094
340027,400617
436,504172
562,210577
1103,13223
10637,307081
769,180863
11549,503346
46705,261470
155,59859
674,222935
13697,370663
101,311
620,429417
1366,1375
8619,75142
872,313369
6479,9659
264660,274870
20416,87827
1585,13377
398181,500475
84892,429351
72190,72710
644,87101
111,97367
68724,87101
95,49047
10323,53182
316029,363676
2639,340674
8966,466411
2034,9604
23168,336843
70160,220882
311,244786
415,470894
398181,446791
72570,429417
4922,10312
395834,446791
337167,465136
2832,446021
15472,346685
568,395992
169917,379149
126331,419743
381284,487558
141,82703
49026,419831
423,16869
277,18239
101,949
443009,451915
216015,465136
8834,273481
413362,445954
8619,65310
510,14313
16642,261470
9339,264644
319633,395991
8446,13223
339380,457136
298312,381283
281957,385360
568,54138
9880,216015
72570,324668
562,273481
8090,489999
1572,401469
185,550
131631,466411
984,406990
85,468362
11027,44214
37725,372058
627,451915
70160,401905
376867,398818
37799,277685
254186,447332
222935,466411
65754,169917
769,359940
72105,261470
391713,468735
84892,467952
388,562
13,11130
453,640
510,627
157350,465136
169917,459910
339988,395990
281957,401905
429197,467952
193893,406990
369192,424694
64690,281957
1368,446021
300671,433498
10068,418827
150689,385448
769,446791
272,49521
38,77
207,590
497,50619
101,8834
180863,207932
10017,168259
24418,50620
13697,27066
627,935
746,399404
860,399055
1369,446021
1900,504172
244786,341006
8090,273481
75656,429203
623,520360
489,10559
49047,274870
78,37165
588,16869
460868,553882
359940,484247
64682,222935
9880,365942
216015,339984
857,369885
5511,154400
272,1924
45269,368694
1443,437557
70,396371
8619,11365
1417,290595
46195,278927
361292,382399
68728,290595
